event_type,pre_year,pre_month,pre_day,storm_year_start,storm_month_start,storm_day_start,storm_year_end,storm_month_end,storm_day_end,post_year,post_month,post_day,event_name,category
hurricane,1969,2,14,1969,8,14,1969,8,22,1970,2,22,camille,5
hurricane,1971,3,5,1971,9,5,1971,9,15,1972,3,15,edith,5
hurricane,1988,3,8,1988,9,8,1988,9,19,1989,3,19,gilbert,5
hurricane,1992,2,16,1992,8,16,1992,8,29,1993,2,29,andrew,5
hurricane,2004,3,2,2004,9,2,2004,9,25,2005,3,25,ivan,5
hurricane,1964,3,28,1964,9,28,1964,10,5,1965,4,5,hilda,4
hurricane,1965,2,27,1965,8,27,1965,9,13,1966,3,13,betsy,4
hurricane,1974,2,29,1974,8,29,1974,9,10,1975,3,10,carmen,4
hurricane,1995,3,27,1995,9,27,1995,10,6,1996,4,6,opal,4
hurricane,1998,3,15,1998,9,15,1998,10,1,1999,4,1,georges,4
hurricane,2002,3,21,2002,9,21,2002,10,4,2003,4,4,lili,4
hurricane,1985,2,28,1985,8,28,1985,9,4,1986,3,4,elena,3
hurricane,2002,3,14,2002,9,14,2002,9,27,2003,3,27,isidore,3
hurricane,1979,1,9,1979,7,9,1979,7,16,1980,1,16,bob,1
hurricane,1985,2,12,1985,8,12,1985,8,20,1986,2,20,danny,1
hurricane,1985,4,26,1985,10,26,1985,11,3,1986,5,3,juan,1
hurricane,1988,3,7,1988,9,7,1988,9,11,1989,3,11,florence,1
hurricane,1997,1,16,1997,7,16,1997,7,27,1998,1,27,danny,1
tropical storm,1996,4,4,1996,10,4,1996,10,13,1997,4,13,josephine,TS
tropical storm,1998,3,8,1998,9,8,1998,9,13,1999,3,13,frances ,TS
tropical storm,2000,12,5,2001,6,5,2001,6,20,2001,12,20,allison,TS
tropical storm,2002,2,4,2002,8,4,2002,8,9,2003,2,9,bertha,TS
tropical storm,2002,3,12,2002,9,12,2002,9,15,2003,3,15,hanna,TS