start_date,end_date,label,name,timing,type,year_start,month_start,day_start,year_end,month_end,day_end,ENSO event,ENSO strength
1985-08-20,1985-11-20,post_1,danny1,post,3 month,1985,8,20,1985,11,20,la nina,weak
1985-08-20,1986-02-20,post_1,danny1,post,6 month,1985,8,20,1986,2,20,la nina,weak
1985-08-28,1985-09-04,hurricane_3,elena,during,hurricane,1985,8,28,1985,9,4,la nina,weak
1985-08-28,1985-09-04,hurricane_3,elena,hurricane,3 month,1985,8,28,1985,9,4,la nina,weak
1985-09-04,1985-12-04,post_3,elena,post,3 month,1985,9,4,1985,12,4,la nina,weak
1985-09-04,1986-03-04,post_3,elena,post,6 month,1985,9,4,1986,3,4,la nina,weak
1985-10-26,1985-11-03,hurricane_1,juan,during,hurricane,1985,10,26,1985,11,3,la nina,weak
1985-10-26,1985-11-03,hurricane_1,juan,hurricane,3 month,1985,10,26,1985,11,3,la nina,weak
1985-11-03,1986-02-03,post_1,juan,post,3 month,1985,11,3,1986,2,3,la nina,weak
1985-11-03,1986-05-03,post_1,juan,post,6 month,1985,11,3,1986,5,3,la nina,weak
1987-04-16,1987-07-16,pre_control,control_e,pre,3 month,1987,4,16,1987,7,16,el nino,strong
1987-07-16,1987-07-27,control,control_e,control,3 month,1987,7,16,1987,7,27,el nino,strong
1987-07-27,1987-10-27,post_control,control_e,post,3 month,1987,7,27,1987,10,27,el nino,strong
1988-02-07,1988-08-07,pre_ts,beryl,pre,6 month,1988,2,7,1988,8,7,el nino,strong
1988-03-07,1988-09-07,pre_1,florence,pre,6 month,1988,3,7,1988,9,7,el nino,strong
1988-05-07,1988-08-07,pre_ts,beryl,pre,3 month,1988,5,7,1988,8,7,el nino,strong
1988-06-07,1988-09-07,pre_1,florence,pre,3 month,1988,6,7,1988,9,7,el nino,strong
1988-08-08,1988-08-10,tropical_storm,beryl,during,tropical storm,1988,8,8,1988,8,10,el nino,strong
1988-08-08,1988-08-10,tropical_storm,beryl,tropical storm,3 month,1988,8,8,1988,8,10,el nino,strong
1988-08-11,1988-11-11,post_ts,beryl,post,3 month,1988,8,11,1988,11,11,el nino,strong
1988-08-11,1989-02-11,post_ts,beryl,post,6 month,1988,8,11,1989,2,11,el nino,strong
1988-09-07,1988-09-11,hurricane_1,florence,during,hurricane,1988,9,7,1988,9,11,el nino,strong
1988-09-07,1988-09-11,hurricane_1,florence,hurricane,3 month,1988,9,7,1988,9,11,el nino,strong
1988-09-11,1988-12-11,post_1,florence,post,3 month,1988,9,11,1988,12,11,el nino,strong
1988-09-11,1989-03-11,post_1,florence,post,6 month,1988,9,11,1989,3,11,el nino,strong
1989-03-23,1989-09-23,pre_control,control_f,pre,6 month,1989,3,23,1989,9,23,la nina,strong
1989-05-07,1989-08-07,pre_control,control_f,pre,3 month,1989,5,7,1989,8,7,la nina,strong
1989-05-27,1989-08-27,pre_control,control_f,pre,3 month,1989,5,27,1989,8,27,la nina,strong
1989-08-08,1989-08-10,control,control_f,control,3 month,1989,8,8,1989,8,10,la nina,strong
1989-08-11,1989-11-11,post_control,control_f,post,3 month,1989,8,11,1989,11,11,la nina,strong
1989-08-27,1989-09-13,control,control_f,control,3 month,1989,8,27,1989,9,13,la nina,strong
1989-09-13,1989-12-13,post_control,control_f,post,3 month,1989,9,13,1989,12,13,la nina,strong
1989-09-24,1989-09-30,control,control_f,control,6 month,1989,9,24,1989,9,30,la nina,strong
1989-10-01,1990-04-01,post_control,control_f,post,6 month,1989,10,1,1990,4,1,la nina,strong
1990-02-16,1990-08-16,pre_control,control_f,pre,6 month,1990,2,16,1990,8,16,NA,NA
1990-03-14,1990-09-14,pre_control,control_f,pre,6 month,1990,3,14,1990,9,14,NA,NA
1990-03-15,1990-09-15,pre_control,control_f,pre,6 month,1990,3,15,1990,9,15,NA,NA
1990-04-30,1990-07-30,pre_control,control_f,pre,3 month,1990,4,30,1990,7,30,NA,NA
1990-07-31,1990-10-06,control,control_f,control,3 month,1990,7,31,1990,10,6,NA,NA
1990-08-16,1990-08-19,control,control_f,control,6 month,1990,8,16,1990,8,19,NA,NA
1990-08-19,1991-03-19,post_control,control_f,post,6 month,1990,8,19,1991,3,19,NA,NA
1990-09-14,1990-09-27,control,control_f,control,6 month,1990,9,14,1990,9,27,NA,NA
1990-09-15,1990-10-01,control,control_f,control,6 month,1990,9,15,1990,10,1,NA,NA
1990-09-27,1991-03-27,post_control,control_f,post,6 month,1990,9,27,1991,3,27,NA,NA
1990-10-01,1991-04-01,post_control,control_f,post,6 month,1990,10,1,1991,4,1,NA,NA
1990-10-07,1991-01-07,post_control,control_f,post,3 month,1990,10,7,1991,1,7,NA,NA
1991-02-04,1991-08-04,pre_control,control_f,pre,6 month,1991,2,4,1991,8,4,el nino,strong
1991-08-04,1991-08-09,control,control_f,control,6 month,1991,8,4,1991,8,9,el nino,strong
1991-08-09,1992-02-09,post_control,control_f,post,6 month,1991,8,9,1992,2,9,el nino,strong
1992-02-16,1992-08-16,pre_5,andrew,pre,6 month,1992,2,16,1992,8,16,el nino,strong
1992-05-16,1992-08-16,pre_5,andrew,pre,3 month,1992,5,16,1992,8,16,el nino,strong
1992-08-16,1992-08-19,hurricane_5,andrew,during,hurricane,1992,8,16,1992,8,19,el nino,strong
1992-08-16,1992-08-19,hurricane_5,andrew,hurricane,3 month,1992,8,16,1992,8,19,el nino,strong
1992-08-19,1992-11-19,post_5,andrew,post,3 month,1992,8,19,1992,11,19,el nino,strong
1992-08-19,1993-03-19,post_5,andrew,post,6 month,1992,8,19,1993,3,19,el nino,strong
1993-03-28,1993-09-28,pre_control,control_g,pre,6 month,1993,3,28,1993,9,28,NA,NA
1993-05-28,1993-08-28,pre_control,control_g,pre,3 month,1993,5,28,1993,8,28,NA,NA
1993-06-12,1993-09-12,pre_control,control_g,pre,3 month,1993,6,12,1993,9,12,NA,NA
1993-08-28,1993-09-04,control,control_g,control,3 month,1993,8,28,1993,9,4,NA,NA
1993-09-04,1993-12-04,post_control,control_g,post,3 month,1993,9,4,1993,12,4,NA,NA
1993-09-12,1993-09-15,control,control_g,control,3 month,1993,9,12,1993,9,15,NA,NA
1993-09-15,1993-12-15,post_control,control_g,post,3 month,1993,9,15,1993,12,15,NA,NA
1993-09-28,1993-10-05,control,control_g,control,6 month,1993,9,28,1993,10,5,NA,NA
1993-10-05,1994-04-05,post_control,control_g,post,6 month,1993,10,5,1994,4,5,NA,NA
1995-01-30,1995-07-30,pre_double,opal and erin,pre,6 month,1995,1,30,1995,7,30,la nina,moderate
1995-04-30,1995-07-30,pre_double,opal and erin,pre,3 month,1995,4,30,1995,7,30,la nina,moderate
1995-07-31,1995-10-06,hurricane_double,opal and erin,hurricane,3 month,1995,7,31,1995,10,6,la nina,moderate
1995-07-31,1995-10-06,hurricane_double,opal and erin,hurricane,6 month,1995,7,31,1995,10,6,la nina,moderate
1995-10-07,1996-01-07,post_double,opal and erin,post,3 month,1995,10,7,1996,1,7,la nina,moderate
1995-10-07,1996-04-07,post_double,opal and erin,post,6 month,1995,10,7,1996,4,7,la nina,moderate
1997-01-16,1997-07-16,pre_1,danny2,pre,6 month,1997,1,16,1997,7,16,el nino,very strong
1997-04-16,1997-07-16,pre_1,danny2,pre,3 month,1997,4,16,1997,7,16,el nino,very strong
1997-07-16,1997-07-27,hurricane_1,danny2,during,hurricane,1997,7,16,1997,7,27,el nino,very strong
1997-07-16,1997-07-27,hurricane_1,danny2,hurricane,3 month,1997,7,16,1997,7,27,el nino,very strong
1997-07-27,1997-10-27,post_1,danny2,post,3 month,1997,7,27,1997,10,27,el nino,very strong
1997-07-27,1998-01-27,post_1,danny2,post,6 month,1997,7,27,1998,1,27,el nino,very strong
1998-03-15,1998-09-15,pre_4,georges,pre,6 month,1998,3,15,1998,9,15,el nino,very strong
1998-03-26,1998-09-26,pre_ts,hermine,pre,6 month,1998,3,26,1998,9,26,el nino,very strong
1998-06-15,1998-09-15,pre_4,georges,pre,3 month,1998,6,15,1998,9,15,el nino,very strong
1998-06-26,1998-09-26,pre_ts,hermine,pre,3 month,1998,6,26,1998,9,26,el nino,very strong
1998-09-15,1998-10-01,hurricane_4,georges,during,hurricane,1998,9,15,1998,10,1,el nino,very strong
1998-09-15,1998-10-01,hurricane_4,georges,hurricane,3 month,1998,9,15,1998,10,1,el nino,very strong
1998-09-27,1998-09-30,tropical_storm,hermine,during,tropical storm,1998,9,27,1998,9,30,el nino,very strong
1998-09-27,1998-09-30,tropical_storm,hermine,tropical storm,3 month,1998,9,27,1998,9,30,el nino,very strong
1998-10-01,1999-01-01,post_4,georges,post,3 month,1998,10,1,1999,1,1,el nino,very strong
1998-10-01,1999-04-01,post_4,georges,post,6 month,1998,10,1,1999,4,1,el nino,very strong
1998-10-01,1999-01-01,post_ts,hermine,post,3 month,1998,10,1,1999,1,1,el nino,very strong
1998-10-01,1999-04-01,post_ts,hermine,post,6 month,1998,10,1,1999,4,1,el nino,very strong
1999-05-04,1999-08-04,pre_control,control_h,pre,3 month,1999,5,4,1999,8,4,la nina,strong
1999-05-14,1999-08-14,pre_control,control_h,pre,3 month,1999,5,14,1999,8,14,la nina,strong
1999-05-28,1999-08-29,pre_control,control_h,pre,3 month,1999,5,28,1999,8,29,la nina,strong
1999-08-04,1999-08-09,control,control_h,control,3 month,1999,8,4,1999,8,9,la nina,strong
1999-08-09,1999-11-09,post_control,control_h,post,3 month,1999,8,9,1999,11,9,la nina,strong
1999-08-14,1999-08-22,control,control_h,control,3 month,1999,8,14,1999,8,22,la nina,strong
1999-08-22,1999-11-22,post_control,control_h,post,3 month,1999,8,22,1999,11,22,la nina,strong
1999-08-29,1999-09-10,control,control_h,control,3 month,1999,8,29,1999,9,10,la nina,strong
1999-09-10,1999-12-10,post_control,control_h,post,3 month,1999,9,10,1999,12,10,la nina,strong
2000-05-12,2000-08-12,pre_control,control_h,pre,3 month,2000,5,12,2000,8,12,la nina,strong
2000-06-14,2000-09-14,pre_control,control_h,pre,3 month,2000,6,14,2000,9,14,la nina,strong
2000-08-12,2000-08-20,control,control_h,control,3 month,2000,8,12,2000,8,20,la nina,strong
2000-08-20,2000-11-20,post_control,control_h,post,3 month,2000,8,20,2000,11,20,la nina,strong
2000-09-14,2000-09-27,control,control_h,control,3 month,2000,9,14,2000,9,27,la nina,strong
2000-09-27,2000-12-27,post_control,control_h,post,3 month,2000,9,27,2000,12,27,la nina,strong
2000-12-05,2001-06-05,pre_ts,allison,pre,6 month,2000,12,5,2001,6,5,la nina,strong
2001-03-05,2001-06-05,pre_ts,allison,pre,3 month,2001,3,5,2001,6,5,la nina,weak
2001-06-05,2001-06-20,tropical_storm,allison,during,tropical storm,2001,6,5,2001,6,20,la nina,weak
2001-06-05,2001-06-20,tropical_storm,allison,tropical storm,3 month,2001,6,5,2001,6,20,la nina,weak
2001-06-20,2001-09-20,post_ts,allison,post,3 month,2001,6,20,2001,9,20,la nina,weak
2001-06-20,2002-12-20,post_ts,allison,post,6 month,2001,6,20,2002,12,20,la nina,weak
2002-02-04,2002-08-04,pre_ts,bertha,pre,6 month,2002,2,4,2002,8,4,el nino,moderate
2002-03-12,2002-09-12,pre_ts,hanna,pre,6 month,2002,3,12,2002,9,12,el nino,moderate
2002-03-14,2002-09-14,pre_3,isidore,pre,6 month,2002,3,14,2002,9,14,el nino,moderate
2002-03-21,2002-09-21,pre_4,lili,pre,6 month,2002,3,21,2002,9,21,el nino,moderate
2002-05-04,2002-08-04,pre_ts,bertha,pre,3 month,2002,5,4,2002,8,4,el nino,moderate
2002-06-12,2002-09-12,pre_ts,hanna,pre,3 month,2002,6,12,2002,9,12,el nino,moderate
2002-06-14,2002-09-14,pre_3,isidore,pre,3 month,2002,6,14,2002,9,14,el nino,moderate
2002-06-21,2002-09-21,pre_4,lili,pre,3 month,2002,6,21,2002,9,21,el nino,moderate
2002-08-04,2002-08-09,tropical_storm,bertha,during,tropical storm,2002,8,4,2002,8,9,el nino,moderate
2002-08-04,2002-08-09,tropical_storm,bertha,tropical storm,3 month,2002,8,4,2002,8,9,el nino,moderate
2002-08-09,2002-11-09,post_ts,bertha,post,3 month,2002,8,9,2002,11,9,el nino,moderate
2002-08-09,2003-02-09,post_ts,bertha,post,6 month,2002,8,9,2003,2,9,el nino,moderate
2002-09-12,2002-09-15,tropical_storm,hanna,during,tropical storm,2002,9,12,2002,9,15,el nino,moderate
2002-09-12,2002-09-15,tropical_storm,hanna,tropical storm,3 month,2002,9,12,2002,9,15,el nino,moderate
2002-09-14,2002-09-27,hurricane_3,isidore,during,hurricane,2002,9,14,2002,9,27,el nino,moderate
2002-09-14,2002-09-27,hurricane_3,isidore,hurricane,3 month,2002,9,14,2002,9,27,el nino,moderate
2002-09-15,2002-12-15,post_ts,hanna,post,3 month,2002,9,15,2002,12,15,el nino,moderate
2002-09-15,2003-03-15,post_ts,hanna,post,6 month,2002,9,15,2003,3,15,el nino,moderate
2002-09-21,2002-10-04,hurricane_4,lili,during,hurricane,2002,9,21,2002,10,4,el nino,moderate
2002-09-21,2002-10-04,hurricane_4,lili,hurricane,3 month,2002,9,21,2002,10,4,el nino,moderate
2002-09-27,2002-12-27,post_3,isidore,post,3 month,2002,9,27,2002,12,27,el nino,moderate
2002-09-27,2003-03-27,post_3,isidore,post,6 month,2002,9,27,2003,3,27,el nino,moderate
2002-10-04,2003-01-04,post_4,lili,post,3 month,2002,10,4,2003,1,4,el nino,moderate
2002-10-04,2003-04-04,post_4,lili,post,6 month,2002,10,4,2003,4,4,el nino,moderate
2002-12-27,2003-06-27,pre_ts,bill,pre,6 month,2002,12,27,2003,6,27,el nino,moderate
2003-03-27,2003-06-27,pre_ts,bill,pre,3 month,2003,3,27,2003,6,27,el nino,moderate
2003-06-28,2003-07-03,tropical_storm,bill,during,tropical storm,2003,6,28,2003,7,3,el nino,moderate
2003-06-28,2003-07-03,tropical_storm,bill,tropical storm,3 month,2003,6,28,2003,7,3,el nino,moderate
2003-07-04,2003-10-04,post_ts,bill,post,3 month,2003,7,4,2003,10,4,el nino,moderate
2003-07-04,2004-01-04,post_ts,bill,post,6 month,2003,7,4,2004,1,4,el nino,moderate
2004-03-02,2004-09-02,pre_5,ivan,pre,6 month,2004,3,2,2004,9,2,el nino,weak
2004-06-02,2004-09-02,pre_5,ivan,pre,3 month,2004,6,2,2004,9,2,el nino,weak
2004-09-02,2004-09-25,hurricane_5,ivan,during,hurricane,2004,9,2,2004,9,25,el nino,weak
2004-09-02,2004-09-25,hurricane_5,ivan,hurricane,3 month,2004,9,2,2004,9,25,el nino,weak
2004-09-25,2004-12-25,post_5,ivan,post,3 month,2004,9,25,2004,12,25,el nino,weak
2004-09-25,2005-03-25,post_5,ivan,post,6 month,2004,9,25,2005,3,25,el nino,weak